Id,SalePrice
1461,105453.82630120893
1462,150160.53150234395
1463,167167.40984729608
1464,180751.84253109968
1465,186864.33689766284
1466,171534.6710029461
1467,185220.81458222657
1468,160145.58418561984
1469,198080.73147147265
1470,108271.56458355137
1471,196570.60269233398
1472,101001.23839323781
1473,85080.33306621108
1474,146918.96781700128
1475,106693.14296802133
1476,346842.41946816584
1477,239149.90749333194
1478,303275.1243738341
1479,295386.93841537996
1480,422400.3384025886
1481,275558.1034416682
1482,211838.37765699602
1483,176658.8232544579
1484,166958.40450371685
1485,197531.07489013975
1486,207496.21701332438
1487,296512.955228287
1488,235562.90157321817
1489,186675.9675831385
1490,241665.53418262838
1491,214680.3603798903
1492,91724.56358542223
1493,199418.5145301011
1494,288173.12561139767
1495,266169.3848860571
1496,247024.1455267293
1497,172030.15179547388
1498,171194.51397033222
1499,165830.59910618165
1500,159864.0669912973
1501,201219.22818583716
1502,148896.62117576902
1503,277905.4666774734
1504,242974.43069250067
1505,220413.65561550646
1506,192080.2845429259
1507,247304.0904852401
1508,205715.92129526637
1509,149301.11197076435
1510,130269.72637498635
1511,152948.99443780025
1512,177075.4579273162
1513,152651.71945655928
1514,134134.20056434255
1515,206553.78811309743
1516,167629.65544048883
1517,165711.25620282418
1518,118588.66286343453
1519,229089.20914002694
1520,127160.67209081189
1521,118675.04006293695
1522,191608.15171766956
1523,96338.29701381898
1524,125975.60762624769
1525,93194.95802219724
1526,85154.00083153299
1527,88498.4853138621
1528,147170.0579021331
1529,134146.71365772304
1530,198379.42949954537
1531,150663.03829983086
1532,103507.82828556607
1533,166533.45656020963
1534,153439.84579501417
1535,160019.0291773181
1536,106922.53965360555
1537,39686.96056677378
1538,165883.69564937544
1539,234420.21669132193
1540,108792.67901021917
1541,141858.22521785437
1542,144074.29196194024
1543,187653.51387025858
1544,87871.56781056104
1545,109577.95413678489
1546,135929.26880527101
1547,148197.15346598718
1548,130914.17403501249
1549,105086.73710518889
1550,132517.89646591526
1551,137940.5073231964
1552,147799.32300538546
1553,156370.1349542169
1554,122261.48807582841
1555,159443.7677088026
1556,67107.84569667187
1557,105130.49863529997
1558,118116.17865651078
1559,73733.87539429963
1560,135683.66477379575
1561,135508.08167197625
1562,133401.83651845693
1563,116242.4794769052
1564,160343.76100755972
1565,132593.06020737067
1566,237557.52625865932
1567,81269.61094246292
1568,235266.83274814556
